name,company,role,email,phone,linkedin,industry,location,stage,score,notes,created_at
,Avant Garde Logistics,,,050 215 1812,,,"
Aghaadir Building - Office #206, 2Nd Floor - 37 Al Mankhool Rd - الرفاعة - دبي",new,4,,2026-04-04 12:05:41
,Verden Logistics,,,050 215 1812,,,"
Umm Hurair Building - M15 - R421 - A Zabeel Road - الكرامة - دبي",new,4,,2026-04-04 12:05:41
,Emirates Logistics Head Office,,,050 215 1812,,,"
New Sharaf Building - 2Nd Floor - شارع خالد بن الوليد - Next To Burjuman Metro Station - Umm Hurair 1 - دبي",new,4,,2026-04-04 12:05:41
,Transcorp International Logistics,,,050 215 1812,,,"
القوز الرابعة - القوز - دبي",new,4,,2026-04-04 12:05:41
,Al Wadi Cargo Llc Sharjah,,,050 215 1812,,,"
Behind Liberty Service Center - الشارقة",new,4,,2026-04-04 12:05:41
,Middle East Distribution Center,,,04 427 8666,,,"
Centre - 68 شارع الشيخ راشد - القرهود - دبي",new,4,,2026-04-04 12:05:41
,Dubai Duty Free Distribution Hq,,,04 427 8666,,,"
69J5+Mqm - شارع مراكش - أم رمول - دبي",new,4,,2026-04-04 12:05:41
,Al Madina Distribution Centre L.L.C,,,04 427 8666,,,"
Dubai Industrial Park - 2 طريق شاحنات الفاية - سيح شعيب - دبي",new,4,,2026-04-04 12:05:41
,Majid Al Futtaim Carrefour Regional Distribution Center,,,04 427 8666,,,"
National Industries Park - دبي",new,4,,2026-04-04 12:05:41
,Distribution Center - Uae,,,04 427 8666,,,"
القوز الرابعة - القوز - دبي",new,4,,2026-04-04 12:05:41
,Syscom Distribution,,,04 427 8666,,,"
Easa Saleh, Al Gurg Building - 24 12 St - 1St Floor - شارع خالد بن الوليد - دبي",new,4,,2026-04-04 12:05:41
,مستودع الامارات للتوزيع,,,04 427 8666,,Logistics,31 6C Street - الخبيص - ديره - دبي,new,4,,2026-04-04 12:05:41
,Shorages E-Commerce Fulfillment Centre,,,050 215 1812,,E-commerce,24B Street - القوز الصناعية الرابعة - القوز - دبي,new,4,,2026-04-04 12:05:41
,Iq Fulfillment General Warehousing,,,050 215 1812,,Logistics,Dubai Investment Park - 1 Warehouse No. 5 - دبي,new,4,,2026-04-04 12:05:41
,Ghs Logistics Fulfilment Centre,,,050 215 1812,,Logistics,"Al Aqeeq St. (H), B52- Rakez Shaded Warehouses Nfz Alhamrah Industrial Area - إمارة رأس الخيمة",new,4,,2026-04-04 12:05:41
,Al Mufid Trading Co. Llc Warehouse,,,050 215 1812,,Logistics,8C79+499 - الصناعية - 6 - المنطقة الصناعية - إمارة الشارقة,new,4,,2026-04-04 12:05:41
,Auh1 - Amazon Fulfillment Center,,,050 215 1812,,,"
مدينة أبوظبى الصناعية - مصفح جنوب - أبو ظبي",new,4,,2026-04-04 12:05:41
,"Al Habtoor Warehouse, Al Qusais Industrial 3.",,,050 215 1812,,,"
79Wq+Mcf - القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:05:41
,Imile Warehouse Al Qusais Branch,,,050 215 1812,,,"
7Cv2+M3X - القصيص الصناعية الرابعة - دبي",new,4,,2026-04-04 12:05:41
,Warehouse,,,04 323 2766,,,"
القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:05:41
,Ua Logistics Services,,,04 323 2766,,,"
00000 - 68 شارع الخليج - ميناء الحمرية - دبي",new,4,,2026-04-04 12:05:41
,Al Tayer Logistics Warehouse,,,04 323 2766,,,"
86 شارع ٢٢ - القوز الصناعية الثالثة - القوز - دبي",new,4,,2026-04-04 12:05:41
,Weship Logistics & Fulfillment,,,04 323 2766,,,"
45515 - Al Nahda 2, Al Ahli House C, 5Th Floor, 507 - Al Nahdha - دبي",new,4,,2026-04-04 12:05:41
,Bbc Cargo Services,,,04 323 2766,,,"
المقر الرئيسي والمستودعات - 130 144 D97 النهدة - القصيص منطقة صناعية ٣ Amman Street, Dubai Headquarters & Warehouses - شارع عمان - القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:05:41
,"Rasmal,",,editor@rasmal.com,,,Media and Entertainment,"New York, United States",new,5,,2026-04-04 12:05:41
,"Rasmal,",,ali@rasmal.com,,,Technology,"Doha, Qatar",new,5,,2026-04-04 12:05:41
,"Rasmal,",,rafey@rasmal.com,,,Technology,"Dubai, Uae",new,5,,2026-04-04 12:05:41
,Companies In Uae,,support@companiesinuae.com,+971 50 987 6543,,Business Services,"Sharjah, Uae",new,7,,2026-04-04 12:05:41
,Engineering,Operations Manager,hr.iggtglobal@gmail.com,,,Engineering,"Al Quoz 3, Dubai (Uae)",new,6,,2026-04-04 12:04:57
,Time World Freight,,customercare@timeworldfreight.ae,+971 4 286 8928,,Logistics And Freight Forwarding,"Dubai, Uae",new,8,,2026-04-04 12:04:57
,Inbox Storage Dubai,,,04 323 2766,,,"
Gate 15 - Warehouse # 23 18Th Street - Al Quoz 1 - دبي",new,4,,2026-04-04 12:04:57
,Equitrans Logistics Llc - Global Horse Transport - Air & Road,,,04 323 2766,,,"
The V Building Office 303 - جنوب البرشاء - دبي",new,4,,2026-04-04 12:04:57
,Global Connect Logistics Llc Dubai,,,04 323 2766,,,"
Warehouse No-6 - Opposite Mega Fix Tyre - القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:04:57
,Lsc Freights & Logistics,,,04 323 2766,,,"
Montana Building - Office 206 Za'Abeel St - الكرامة - دبي",new,4,,2026-04-04 12:04:57
,Bbc Cargo Services,,,04 323 2766,,,"
المقر الرئيسي والمستودعات - 130 144 D97 النهدة - القصيص منطقة صناعية ٣ Amman Street, Dubai Headquarters & Warehouses - شارع عمان - القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:04:57
,Top Most Freight Solutions L.L.C,,,04 323 2766,,,"
Cross Before Tasjeel Centre - 24 B Street, Warehouse No 7 Dubai Real Estate Corporation - Warehouse Complex شارع بيروت - القصيص الصناعية الخامسة - دبي",new,4,,2026-04-04 12:04:57
,'Tre'Log Llc-Shipping Freight & Projects.Dubai.Uae,,,04 323 2766,,,"
Airport Fz Metro - الطوار الخامسة - دبي",new,4,,2026-04-04 12:04:57
,Union Logistics Fze,,,04 323 2766,,,"
W40 C - مطار دبي الدولي - Dubai Airport Free Zone - دبي",new,4,,2026-04-04 12:04:57
,Pada Warehouse,,,055 823 1875,,,"
8C96+6Wf - الصناعيات - المنطقة الصناعية - إمارة الشارقةّ",new,4,,2026-04-04 12:04:57
,Sunrise Real Estate Enterprises Llc - Best Real Estate In Sharjah - Since 1979,,,055 823 1875,,,"
116 Jamal Abdul Naser St - Al Majaz - Al Majaz 2 - Sharjah Faya Business Park, 4Th Floor, Office 402 - الشارقة",new,4,,2026-04-04 12:04:57
,Aws Distribution,,,055 823 1875,,,"
Bin Shabib Mall - Block 3 - Second Floor - القصيص ١ - دبي",new,4,,2026-04-04 12:04:57
,"Al Usood Cargo, Warehouse",,,055 823 1875,,,"
30 Doha Rd - القصيص الصناعية الأولى - دبي",new,4,,2026-04-04 12:04:57
,Namshi General Trading Warehouse,,,055 823 1875,,,"
69P9+Fq9 - أم رمول - دبي",new,4,,2026-04-04 12:04:57
,Al Wadi Cargo Llc Sharjah,,,055 823 1875,,,"
Behind Liberty Service Center - الشارقة",new,4,,2026-04-04 12:04:57
,Sahar Enterprises Llc - Al Kabeer,,,055 823 1875,,,"
13 - 13 Halab St - القصيص الصناعية الأولى - دبي",new,4,,2026-04-04 12:04:57
,Al Mufid Trading Co. Llc Warehouse,,,055 823 1875,,,"
8C79+499 - الصناعية - 6 - المنطقة الصناعية - إمارة الشارقةّ",new,4,,2026-04-04 12:04:57
,Impulse Warehouse - Dubai,,,055 823 1875,,,"
القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:04:57
,Reliance Facilities Management (L.L.C),,,04 235 2333,,,"
Opal Tower - 603 بوليفارد برج خليفة - الخليج التجاري - دبي",new,4,,2026-04-04 12:04:57
,Black Swan Business Setup Services,,,04 235 2333,,,"
The Citadel - Tower Office No: 3701 And 3702 - الخليج التجاري - دبي",new,4,,2026-04-04 12:04:57
,B Location,,,04 235 2333,,,"
79Vh+Fr6 - النهدة الثانية - النهدة - دبي",new,4,,2026-04-04 12:04:57
,Blue Ocean Academy,,,04 235 2333,,,"
Suite B2505, Latifa Tower - شارع الشيخ زايد - Opp. Dubai Museum Of The Future - المركز التجاري الأولي - دبي",new,4,,2026-04-04 12:04:57
,تاسيس شركة في دبي - دبليو اي اس,,,04 235 2333,,,"
Clover Bay Tower - مراسي درايف - الخليج التجاري - دبي",new,4,,2026-04-04 12:04:57
,Rak Building Maintenance,,,04 235 2333,,,"
المركز التجاري الثانية - دبي",new,4,,2026-04-04 12:04:57
,Jobs In Dubai,,,04 235 2333,,,"
شارع الحمرية - Near Hamriya Park - أبو هيل - ديرة - دبي",new,4,,2026-04-04 12:04:57
,Middle East Distribution Center,,,04 427 8666,,,"
Centre - 68 شارع الشيخ راشد - القرهود - دبي",new,4,,2026-04-04 12:04:57
,Al Madina Hypermarket Distribution Centre,,,04 427 8666,,,"
8C6H+6Wg - الصناعيات - المنطقة الصناعية - إمارة الشارقةّ",new,4,,2026-04-04 12:04:57
,Wiwu International Trading - Warehouse,,,04 427 8666,,,"
96 Street 23 - الدراري التجارية - المنطقة الصناعية - Dubai",new,4,,2026-04-04 12:04:57
,Iffco Distribution Services,,,04 427 8666,,,"
Khalid Port - شارع الميناء - ميناء خالد - إمارة الشارقةّ",new,4,,2026-04-04 12:04:57
,Standard Technical Supply Llc Stores / Warehouse,,,04 427 8666,,,"
7Cq4+Pcr - القصيص الصناعية الخامسة - دبي",new,4,,2026-04-04 12:04:57
,Distribution Center - Uae,,,04 427 8666,,,"
القوز الرابعة - القوز - دبي",new,4,,2026-04-04 12:04:57
,Majid Al Futtaim Carrefour Regional Distribution Center,,,04 427 8666,,,"
National Industries Park - دبي",new,4,,2026-04-04 12:04:57
,Public Storage And Cargo Packaging,,,055 885 9527,,,"
Plot No. Nb 802,Street No. 28 B Al Qouz Industrial Area 3, 4Th Interchange, Behind Eta Profile - Dubai - دبي",new,4,,2026-04-04 12:04:57
,Al Tayer Logistics Warehouse,,,055 885 9527,,,"
86 شارع ٢٢ - القوز الصناعية الثالثة - القوز - دبي",new,4,,2026-04-04 12:04:57
,Warehouse,,,055 885 9527,,,"
القصيص الصناعية الثالثة - دبي",new,4,,2026-04-04 12:04:57
,Jako Cargo Company,,,055 885 9527,,,"
8C3F+C7J - الصناعية - 10 - المنطقة الصناعية - إمارة الشارقةّ",new,4,,2026-04-04 12:04:57
,Emirates Logistics Head Office,,,055 885 9527,,,"
New Sharaf Building - 2Nd Floor - شارع خالد بن الوليد - Next To Burjuman Metro Station - Umm Hurair 1 - دبي",new,4,,2026-04-04 12:04:57
,Freelance Logistics Llc - Head Office,,,055 885 9527,,,"
Saheel Tower 1 Office No 405 - النهدة الأولى - دبي",new,4,,2026-04-04 12:04:57
Easytest,Easyuae,Senior Logistic ,rajesh.connects.1@gmail.com,,,Travel,,New,5,,2026-04-04 12:04:57
Kumar,Easyuae,,info@smartwebgate.com,,,Travel,,New,5,,2026-04-04 12:04:57
Thangaraj,Easyuae,,info@thangaraj112018@gmail.com.com,,,Travel and Tourism,,New,5,,2026-04-04 12:04:57
,Easyuae,,,+971 4 885 1544,,Travel and Tourism,,New,5,,2026-04-04 12:04:57
